id;answer;comment;comment_answer
1;wetly THX Luxurious;Phosphorus;Assistant that
2;generate Islands Books;Syracuse quantify;Markets
3;synthesizing Touring transmit;Northwest;success Loop
4;Handcrafted;Van Concrete;compressing
5;Coupe;rich Scandium unseat;knowledge Australia Trial
6;up;Specialist;Rhode silver Tasty
7;Tools;green digital Northwest;payment sticky Diesel
8;henry;Coordinator Alaska;Baby invoice deposit
9;Porsche convergence;female approach Music;Pickup
10;hierarchy Interactions;copying;Valley Intelligent Funk
